stream_semester_group,stream,section,semester,dedicated_room,room_type,room_capacity,course_code,course_name,course_hours_per_week,course_department,is_lab,faculty_name,faculty_department
CSE-A_VI,CSE,A,VI,CR-077,theory,64,CS-6010L,Applications Lab,2,CSE,True,Dr. Vivaan Iyer,CSE
CSE-A_VI,CSE,A,VI,CR-077,theory,64,CS-608,Design,3,CSE,False,Prof. Aarav Pandey,CSE
CSE-A_VI,CSE,A,VI,CR-077,theory,64,CS-608L,Design Lab,2,CSE,True,Prof. Vivaan Mishra,CSE
CSE-A_VI,CSE,A,VI,CR-077,theory,64,CS-606,Principles,3,CSE,False,Dr. Vivaan Iyer,CSE
CSE-A_VII,CSE,A,VII,CR-077,theory,64,CS-707,Analysis,4,CSE,False,Dr. Aanya Menon,CSE
CSE-A_VII,CSE,A,VII,CR-077,theory,64,CS-707L,Analysis Lab,2,CSE,True,Prof. Pari Yadav,CSE
CSE-A_VII,CSE,A,VII,CR-077,theory,64,CS-708,Principles,3,CSE,False,Prof. Sai Verma,CSE
CSE-A_VII,CSE,A,VII,CR-077,theory,64,CS-708L,Principles Lab,2,CSE,True,Dr. Vivaan Joshi,CSE
CSE-A_VII,CSE,A,VII,CR-077,theory,64,CS-709,Programming,4,CSE,False,Prof. Sai Verma,CSE
CSE-A_VII,CSE,A,VII,CR-077,theory,64,CS-709L,Programming Lab,2,CSE,True,Dr. Vivaan Iyer,CSE
CSE-A_VIII,CSE,A,VIII,CR-077,theory,64,CS-809,Engineering,3,CSE,False,Dr. Aanya Menon,CSE
CSE-A_VIII,CSE,A,VIII,CR-077,theory,64,CS-807,Dynamics,3,CSE,False,Dr. Priya Gupta,CSE
CSE-A_VIII,CSE,A,VIII,CR-077,theory,64,CS-807L,Dynamics Lab,2,CSE,True,Dr. Ishaan Sharma,CSE
CSE-A_VIII,CSE,A,VIII,CR-077,theory,64,CS-802,Fundamentals,4,CSE,False,Dr. Aditya Khan,CSE
CSE-A_VIII,CSE,A,VIII,CR-077,theory,64,CS-808,Fundamentals,3,CSE,False,Dr. Aditya Khan,CSE
CSE-A_VIII,CSE,A,VIII,CR-077,theory,64,CS-808L,Fundamentals Lab,2,CSE,True,Dr. Vivaan Iyer,CSE
CSE-B_I,CSE,B,I,CR-046,theory,75,CS-1011,Dynamics,3,CSE,False,Dr. Vihaan Mishra,CSE
CSE-B_I,CSE,B,I,CR-046,theory,75,CS-1011L,Dynamics Lab,2,CSE,True,Dr. Vivaan Iyer,CSE
CSE-B_I,CSE,B,I,CR-046,theory,75,CS-102,Programming,3,CSE,False,Prof. Vivaan Mishra,CSE
CSE-B_I,CSE,B,I,CR-046,theory,75,CS-1012,Principles,4,CSE,False,Prof. Sai Verma,CSE
CSE-B_I,CSE,B,I,CR-046,theory,75,CS-1012L,Principles Lab,2,CSE,True,Prof. Ananya Menon,CSE
CSE-B_I,CSE,B,I,CR-046,theory,75,CS-106,Analysis,3,CSE,False,Dr. Vivaan Joshi,CSE
CSE-B_II,CSE,B,II,CR-046,theory,75,CS-209,Systems,4,CSE,False,Dr. Ananya Reddy,CSE
CSE-B_II,CSE,B,II,CR-046,theory,75,CS-209L,Systems Lab,2,CSE,True,Prof. Kiara Singh,CSE
CSE-B_II,CSE,B,II,CR-046,theory,75,CS-201,Structures,4,CSE,False,Dr. Ishaan Sharma,CSE
CSE-B_II,CSE,B,II,CR-046,theory,75,CS-2010,Theory,3,CSE,False,Dr. Fatima Mishra,CSE
CSE-B_II,CSE,B,II,CR-046,theory,75,CS-203,Analysis,3,CSE,False,Dr. Aditya Khan,CSE
CSE-B_II,CSE,B,II,CR-046,theory,75,CS-203L,Analysis Lab,2,CSE,True,Prof. Sai Verma,CSE
CSE-B_III,CSE,B,III,CR-046,theory,75,CS-305,Theory,3,CSE,False,Dr. Vivaan Iyer,CSE
CSE-B_III,CSE,B,III,CR-046,theory,75,CS-309,Fundamentals,4,CSE,False,Dr. Aanya Menon,CSE
CSE-B_III,CSE,B,III,CR-046,theory,75,CS-309L,Fundamentals Lab,2,CSE,True,Dr. Fatima Mishra,CSE
CSE-B_III,CSE,B,III,CR-046,theory,75,CS-3011,Applications,3,CSE,False,Prof. Sai Verma,CSE
CSE-B_III,CSE,B,III,CR-046,theory,75,CS-3011L,Applications Lab,2,CSE,True,Prof. Vivaan Mishra,CSE
CSE-B_III,CSE,B,III,CR-046,theory,75,CS-308,Engineering,3,CSE,False,Dr. Ananya Reddy,CSE
CSE-B_IV,CSE,B,IV,CR-046,theory,75,CS-408,Systems,4,CSE,False,Dr. Ishaan Sharma,CSE
CSE-B_IV,CSE,B,IV,CR-046,theory,75,CS-408L,Systems Lab,2,CSE,True,Dr. Fatima Mishra,CSE
CSE-B_IV,CSE,B,IV,CR-046,theory,75,CS-401,Programming,4,CSE,False,Dr. Fatima Mishra,CSE
CSE-B_IV,CSE,B,IV,CR-046,theory,75,CS-401L,Programming Lab,2,CSE,True,Prof. Aarav Pandey,CSE
CSE-B_IV,CSE,B,IV,CR-046,theory,75,CS-4010,Analysis,3,CSE,False,Prof. Pari Yadav,CSE
CSE-B_IV,CSE,B,IV,CR-046,theory,75,CS-4010L,Analysis Lab,2,CSE,True,Dr. Priya Gupta,CSE
CSE-B_V,CSE,B,V,CR-046,theory,75,CS-505,Dynamics,3,CSE,False,Prof. Vivaan Mishra,CSE
CSE-B_V,CSE,B,V,CR-046,theory,75,CS-505L,Dynamics Lab,2,CSE,True,Dr. Aditya Khan,CSE
CSE-B_V,CSE,B,V,CR-046,theory,75,CS-5011,Principles,3,CSE,False,Dr. Vivaan Iyer,CSE
CSE-B_V,CSE,B,V,CR-046,theory,75,CS-5011L,Principles Lab,2,CSE,True,Prof. Ananya Menon,CSE
CSE-B_V,CSE,B,V,CR-046,theory,75,CS-501,Dynamics,4,CSE,False,Dr. Vivaan Joshi,CSE
CSE-B_V,CSE,B,V,CR-046,theory,75,CS-501L,Dynamics Lab,2,CSE,True,Dr. Vivaan Iyer,CSE
CSE-B_VI,CSE,B,VI,CR-046,theory,75,CS-604,Principles,3,CSE,False,Dr. Vivaan Joshi,CSE
CSE-B_VI,CSE,B,VI,CR-046,theory,75,CS-608,Design,3,CSE,False,Dr. Vihaan Mishra,CSE
CSE-B_VI,CSE,B,VI,CR-046,theory,75,CS-608L,Design Lab,2,CSE,True,Prof. Pari Yadav,CSE
CSE-B_VI,CSE,B,VI,CR-046,theory,75,CS-609,Structures,3,CSE,False,Dr. Ananya Reddy,CSE
CSE-B_VI,CSE,B,VI,CR-046,theory,75,CS-6012,Fundamentals,3,CSE,False,Dr. Vihaan Mishra,CSE
CSE-B_VI,CSE,B,VI,CR-046,theory,75,CS-6012L,Fundamentals Lab,2,CSE,True,Dr. Vihaan Mishra,CSE
CSE-B_VII,CSE,B,VII,CR-046,theory,75,CS-7012,Programming,4,CSE,False,Prof. Vivaan Mishra,CSE
CSE-B_VII,CSE,B,VII,CR-046,theory,75,CS-7012L,Programming Lab,2,CSE,True,Dr. Aanya Menon,CSE
CSE-B_VII,CSE,B,VII,CR-046,theory,75,CS-703,Analysis,3,CSE,False,Prof. Vivaan Mishra,CSE
CSE-B_VII,CSE,B,VII,CR-046,theory,75,CS-7011,Analysis,4,CSE,False,Dr. Ishaan Sharma,CSE
CSE-B_VII,CSE,B,VII,CR-046,theory,75,CS-7011L,Analysis Lab,2,CSE,True,Dr. Fatima Mishra,CSE
CSE-B_VII,CSE,B,VII,CR-046,theory,75,CS-706,Theory,3,CSE,False,Prof. Vivaan Mishra,CSE
CSE-B_VIII,CSE,B,VIII,CR-046,theory,75,CS-807,Dynamics,3,CSE,False,Prof. Ananya Menon,CSE
CSE-B_VIII,CSE,B,VIII,CR-046,theory,75,CS-807L,Dynamics Lab,2,CSE,True,Dr. Vivaan Iyer,CSE
CSE-B_VIII,CSE,B,VIII,CR-046,theory,75,CS-802,Fundamentals,4,CSE,False,Dr. Priya Gupta,CSE
CSE-B_VIII,CSE,B,VIII,CR-046,theory,75,CS-806,Engineering,4,CSE,False,Dr. Aanya Menon,CSE
CSE-B_VIII,CSE,B,VIII,CR-046,theory,75,CS-8010,Fundamentals,3,CSE,False,Dr. Vivaan Iyer,CSE
CSE-B_VIII,CSE,B,VIII,CR-046,theory,75,CS-8010L,Fundamentals Lab,2,CSE,True,Dr. Aanya Menon,CSE
CSE-C_I,CSE,C,I,CR-127,theory,79,CS-109,Structures,4,CSE,False,Prof. Aarav Pandey,CSE
CSE-C_I,CSE,C,I,CR-127,theory,79,CS-109L,Structures Lab,2,CSE,True,Prof. Vivaan Mishra,CSE
CSE-C_I,CSE,C,I,CR-127,theory,79,CS-105,Principles,3,CSE,False,Dr. Fatima Mishra,CSE
CSE-C_I,CSE,C,I,CR-127,theory,79,CS-106,Analysis,3,CSE,False,Dr. Vihaan Mishra,CSE
CSE-C_I,CSE,C,I,CR-127,theory,79,CS-106L,Analysis Lab,2,CSE,True,Dr. Aanya Menon,CSE
CSE-C_I,CSE,C,I,CR-127,theory,79,CS-108,Principles,4,CSE,False,Dr. Fatima Mishra,CSE
CSE-C_II,CSE,C,II,CR-127,theory,79,CS-209,Systems,4,CSE,False,Dr. Ishaan Sharma,CSE
CSE-C_II,CSE,C,II,CR-127,theory,79,CS-209L,Systems Lab,2,CSE,True,Dr. Vivaan Joshi,CSE
CSE-C_II,CSE,C,II,CR-127,theory,79,CS-204,Systems,4,CSE,False,Dr. Priya Gupta,CSE
CSE-C_II,CSE,C,II,CR-127,theory,79,CS-208,Design,4,CSE,False,Dr. Ananya Reddy,CSE
CSE-C_II,CSE,C,II,CR-127,theory,79,CS-2012,Fundamentals,3,CSE,False,Dr. Vivaan Joshi,CSE
CSE-C_II,CSE,C,II,CR-127,theory,79,CS-201,Structures,4,CSE,False,Prof. Aarav Pandey,CSE
CSE-C_III,CSE,C,III,CR-127,theory,79,CS-3010,Structures,3,CSE,False,Prof. Vivaan Mishra,CSE
CSE-C_III,CSE,C,III,CR-127,theory,79,CS-3010L,Structures Lab,2,CSE,True,Prof. Vivaan Mishra,CSE
CSE-C_III,CSE,C,III,CR-127,theory,79,CS-303,Design,3,CSE,False,Dr. Ananya Reddy,CSE
CSE-C_III,CSE,C,III,CR-127,theory,79,CS-3011,Applications,3,CSE,False,Prof. Ananya Menon,CSE
CSE-C_III,CSE,C,III,CR-127,theory,79,CS-3011L,Applications Lab,2,CSE,True,Dr. Ishaan Sharma,CSE
CSE-C_III,CSE,C,III,CR-127,theory,79,CS-304,Analysis,3,CSE,False,Dr. Priya Gupta,CSE
CSE-C_IV,CSE,C,IV,CR-127,theory,79,CS-4010,Analysis,3,CSE,False,Dr. Ananya Reddy,CSE
CSE-C_IV,CSE,C,IV,CR-127,theory,79,CS-4010L,Analysis Lab,2,CSE,True,Dr. Priya Gupta,CSE
CSE-C_IV,CSE,C,IV,CR-127,theory,79,CS-403,Dynamics,3,CSE,False,Dr. Vivaan Joshi,CSE
CSE-C_IV,CSE,C,IV,CR-127,theory,79,CS-403L,Dynamics Lab,2,CSE,True,Prof. Vivaan Mishra,CSE
CSE-C_IV,CSE,C,IV,CR-127,theory,79,CS-406,Structures,4,CSE,False,Dr. Priya Gupta,CSE
CSE-C_IV,CSE,C,IV,CR-127,theory,79,CS-406L,Structures Lab,2,CSE,True,Dr. Aanya Menon,CSE
CSE-C_V,CSE,C,V,CR-127,theory,79,CS-505,Dynamics,3,CSE,False,Prof. Sai Verma,CSE
CSE-C_V,CSE,C,V,CR-127,theory,79,CS-505L,Dynamics Lab,2,CSE,True,Dr. Vihaan Mishra,CSE
CSE-C_V,CSE,C,V,CR-127,theory,79,CS-503,Systems,3,CSE,False,Prof. Ananya Menon,CSE
CSE-C_V,CSE,C,V,CR-127,theory,79,CS-508,Structures,4,CSE,False,Prof. Aarav Pandey,CSE
CSE-C_V,CSE,C,V,CR-127,theory,79,CS-508L,Structures Lab,2,CSE,True,Dr. Aanya Menon,CSE
CSE-C_V,CSE,C,V,CR-127,theory,79,CS-5012,Programming,3,CSE,False,Dr. Aditya Khan,CSE
CSE-C_VI,CSE,C,VI,CR-127,theory,79,CS-608,Design,3,CSE,False,Dr. Vihaan Mishra,CSE
CSE-C_VI,CSE,C,VI,CR-127,theory,79,CS-608L,Design Lab,2,CSE,True,Dr. Fatima Mishra,CSE
CSE-C_VI,CSE,C,VI,CR-127,theory,79,CS-606,Principles,3,CSE,False,Dr. Vivaan Joshi,CSE
CSE-C_VI,CSE,C,VI,CR-127,theory,79,CS-606L,Principles Lab,2,CSE,True,Dr. Priya Gupta,CSE
CSE-C_VI,CSE,C,VI,CR-127,theory,79,CS-6012,Fundamentals,3,CSE,False,Dr. Priya Gupta,CSE
CSE-C_VI,CSE,C,VI,CR-127,theory,79,CS-6012L,Fundamentals Lab,2,CSE,True,Dr. Priya Gupta,CSE
CSE-C_VII,CSE,C,VII,CR-127,theory,79,CS-7010,Analysis,4,CSE,False,Prof. Sai Verma,CSE
CSE-C_VII,CSE,C,VII,CR-127,theory,79,CS-705,Theory,3,CSE,False,Prof. Kiara Singh,CSE
CSE-C_VII,CSE,C,VII,CR-127,theory,79,CS-705L,Theory Lab,2,CSE,True,Prof. Pari Yadav,CSE
CSE-C_VII,CSE,C,VII,CR-127,theory,79,CS-706,Theory,3,CSE,False,Prof. Aarav Pandey,CSE
CSE-C_VII,CSE,C,VII,CR-127,theory,79,CS-706L,Theory Lab,2,CSE,True,Prof. Vivaan Mishra,CSE
CSE-C_VII,CSE,C,VII,CR-127,theory,79,CS-703,Analysis,3,CSE,False,Prof. Sai Verma,CSE
CSE-C_VIII,CSE,C,VIII,CR-127,theory,79,CS-805,Design,3,CSE,False,Dr. Fatima Mishra,CSE
CSE-C_VIII,CSE,C,VIII,CR-127,theory,79,CS-805L,Design Lab,2,CSE,True,Dr. Aanya Menon,CSE
CSE-C_VIII,CSE,C,VIII,CR-127,theory,79,CS-8010,Fundamentals,3,CSE,False,Dr. Vihaan Mishra,CSE
CSE-C_VIII,CSE,C,VIII,CR-127,theory,79,CS-8010L,Fundamentals Lab,2,CSE,True,Dr. Vivaan Joshi,CSE
CSE-C_VIII,CSE,C,VIII,CR-127,theory,79,CS-808,Fundamentals,3,CSE,False,Dr. Fatima Mishra,CSE
CSE-C_VIII,CSE,C,VIII,CR-127,theory,79,CS-808L,Fundamentals Lab,2,CSE,True,Dr. Aanya Menon,CSE
CSE-D_I,CSE,D,I,CR-104,theory,79,CS-103,Structures,3,CSE,False,Dr. Fatima Mishra,CSE
CSE-D_I,CSE,D,I,CR-104,theory,79,CS-101,Programming,3,CSE,False,Prof. Aarav Pandey,CSE
CSE-D_I,CSE,D,I,CR-104,theory,79,CS-101L,Programming Lab,2,CSE,True,Prof. Aarav Pandey,CSE
CSE-D_I,CSE,D,I,CR-104,theory,79,CS-108,Principles,4,CSE,False,Dr. Vivaan Joshi,CSE
CSE-D_I,CSE,D,I,CR-104,theory,79,CS-108L,Principles Lab,2,CSE,True,Dr. Vihaan Mishra,CSE
CSE-D_I,CSE,D,I,CR-104,theory,79,CS-107,Design,4,CSE,False,Prof. Kiara Singh,CSE
CSE-D_II,CSE,D,II,CR-104,theory,79,CS-2011,Applications,4,CSE,False,Prof. Ananya Menon,CSE
CSE-D_II,CSE,D,II,CR-104,theory,79,CS-2011L,Applications Lab,2,CSE,True,Prof. Kiara Singh,CSE
CSE-D_II,CSE,D,II,CR-104,theory,79,CS-204,Systems,4,CSE,False,Dr. Fatima Mishra,CSE
CSE-D_II,CSE,D,II,CR-104,theory,79,CS-209,Systems,4,CSE,False,Dr. Vihaan Mishra,CSE
CSE-D_II,CSE,D,II,CR-104,theory,79,CS-209L,Systems Lab,2,CSE,True,Prof. Ananya Menon,CSE
CSE-D_II,CSE,D,II,CR-104,theory,79,CS-206,Theory,3,CSE,False,Prof. Aarav Pandey,CSE
CSE-D_III,CSE,D,III,CR-104,theory,79,CS-301,Theory,4,CSE,False,Prof. Ananya Menon,CSE
CSE-D_III,CSE,D,III,CR-104,theory,79,CS-301L,Theory Lab,2,CSE,True,Dr. Ishaan Sharma,CSE
CSE-D_III,CSE,D,III,CR-104,theory,79,CS-303,Design,3,CSE,False,Prof. Ananya Menon,CSE
CSE-D_III,CSE,D,III,CR-104,theory,79,CS-309,Fundamentals,4,CSE,False,Prof. Pari Yadav,CSE
CSE-D_III,CSE,D,III,CR-104,theory,79,CS-309L,Fundamentals Lab,2,CSE,True,Prof. Kiara Singh,CSE
CSE-D_III,CSE,D,III,CR-104,theory,79,CS-302,Principles,4,CSE,False,Prof. Pari Yadav,CSE
CSE-D_IV,CSE,D,IV,CR-104,theory,79,CS-402,Structures,4,CSE,False,Dr. Ishaan Sharma,CSE
CSE-D_IV,CSE,D,IV,CR-104,theory,79,CS-407,Theory,4,CSE,False,Prof. Ananya Menon,CSE
CSE-D_IV,CSE,D,IV,CR-104,theory,79,CS-405,Fundamentals,3,CSE,False,Dr. Ishaan Sharma,CSE
CSE-D_IV,CSE,D,IV,CR-104,theory,79,CS-4011,Design,3,CSE,False,Dr. Aanya Menon,CSE
CSE-D_IV,CSE,D,IV,CR-104,theory,79,CS-4012,Fundamentals,3,CSE,False,Dr. Vivaan Joshi,CSE
CSE-D_IV,CSE,D,IV,CR-104,theory,79,CS-4012L,Fundamentals Lab,2,CSE,True,Dr. Ishaan Sharma,CSE
CSE-D_V,CSE,D,V,CR-104,theory,79,CS-509,Applications,4,CSE,False,Dr. Aditya Khan,CSE
CSE-D_V,CSE,D,V,CR-104,theory,79,CS-509L,Applications Lab,2,CSE,True,Dr. Vihaan Mishra,CSE
CSE-D_V,CSE,D,V,CR-104,theory,79,CS-5012,Programming,3,CSE,False,Prof. Kiara Singh,CSE
CSE-D_V,CSE,D,V,CR-104,theory,79,CS-508,Structures,4,CSE,False,Prof. Kiara Singh,CSE
CSE-D_V,CSE,D,V,CR-104,theory,79,CS-508L,Structures Lab,2,CSE,True,Prof. Kiara Singh,CSE
CSE-D_V,CSE,D,V,CR-104,theory,79,CS-5011,Principles,3,CSE,False,Prof. Kiara Singh,CSE
CSE-D_VI,CSE,D,VI,CR-104,theory,79,CS-604,Principles,3,CSE,False,Dr. Aditya Khan,CSE
CSE-D_VI,CSE,D,VI,CR-104,theory,79,CS-609,Structures,3,CSE,False,Dr. Aditya Khan,CSE
CSE-D_VI,CSE,D,VI,CR-104,theory,79,CS-608,Design,3,CSE,False,Prof. Kiara Singh,CSE
CSE-D_VI,CSE,D,VI,CR-104,theory,79,CS-608L,Design Lab,2,CSE,True,Dr. Aditya Khan,CSE
CSE-D_VI,CSE,D,VI,CR-104,theory,79,CS-602,Structures,3,CSE,False,Dr. Aditya Khan,CSE
CSE-D_VI,CSE,D,VI,CR-104,theory,79,CS-602L,Structures Lab,2,CSE,True,Prof. Pari Yadav,CSE
CSE-D_VII,CSE,D,VII,CR-104,theory,79,CS-7012,Programming,4,CSE,False,Prof. Pari Yadav,CSE
CSE-D_VII,CSE,D,VII,CR-104,theory,79,CS-7012L,Programming Lab,2,CSE,True,Prof. Kiara Singh,CSE
CSE-D_VII,CSE,D,VII,CR-104,theory,79,CS-705,Theory,3,CSE,False,Prof. Kiara Singh,CSE
CSE-D_VII,CSE,D,VII,CR-104,theory,79,CS-705L,Theory Lab,2,CSE,True,Prof. Pari Yadav,CSE
CSE-D_VII,CSE,D,VII,CR-104,theory,79,CS-703,Analysis,3,CSE,False,Prof. Pari Yadav,CSE
AIDS-A_I,AIDS,A,I,CR-080,theory,57,DS-1011,Principles,4,AIDS,False,Dr. Diya Khan,AIDS
AIDS-A_I,AIDS,A,I,CR-080,theory,57,DS-107,Systems,3,AIDS,False,Dr. Diya Joshi,AIDS
AIDS-A_I,AIDS,A,I,CR-080,theory,57,DS-106,Fundamentals,4,AIDS,False,Dr. Pari Reddy,AIDS
AIDS-A_I,AIDS,A,I,CR-080,theory,57,DS-106L,Fundamentals Lab,2,AIDS,True,Dr. Ananya Pandey,AIDS
AIDS-A_I,AIDS,A,I,CR-080,theory,57,DS-105,Theory,3,AIDS,False,Dr. Arjun Pandey,AIDS
AIDS-A_I,AIDS,A,I,CR-080,theory,57,DS-104,Analysis,4,AIDS,False,Dr. Arjun Pandey,AIDS
AIDS-A_II,AIDS,A,II,CR-080,theory,57,DS-205,Principles,4,AIDS,False,Dr. Diya Joshi,AIDS
AIDS-A_II,AIDS,A,II,CR-080,theory,57,DS-209,Design,4,AIDS,False,Prof. Saanvi Nath,AIDS
AIDS-A_II,AIDS,A,II,CR-080,theory,57,DS-208,Structures,3,AIDS,False,Dr. Aadhya Sharma,AIDS
AIDS-A_II,AIDS,A,II,CR-080,theory,57,DS-2010,Design,3,AIDS,False,Prof. Vihaan Singh,AIDS
AIDS-A_II,AIDS,A,II,CR-080,theory,57,DS-2010L,Design Lab,2,AIDS,True,Dr. Arjun Iyer,AIDS
AIDS-A_II,AIDS,A,II,CR-080,theory,57,DS-201,Design,4,AIDS,False,Prof. Priya Khan,AIDS
AIDS-A_III,AIDS,A,III,CR-080,theory,57,DS-303,Principles,4,AIDS,False,Prof. Saanvi Nath,AIDS
AIDS-A_III,AIDS,A,III,CR-080,theory,57,DS-3010,Applications,3,AIDS,False,Dr. Pari Reddy,AIDS
AIDS-A_III,AIDS,A,III,CR-080,theory,57,DS-305,Theory,3,AIDS,False,Dr. Diya Joshi,AIDS
AIDS-A_III,AIDS,A,III,CR-080,theory,57,DS-305L,Theory Lab,2,AIDS,True,Dr. Priya Yadav,AIDS
AIDS-A_III,AIDS,A,III,CR-080,theory,57,DS-309,Design,3,AIDS,False,Prof. Sai Sharma,AIDS
AIDS-A_III,AIDS,A,III,CR-080,theory,57,DS-309L,Design Lab,2,AIDS,True,Prof. Priya Khan,AIDS
AIDS-A_IV,AIDS,A,IV,CR-080,theory,57,DS-402,Analysis,4,AIDS,False,Dr. Pari Reddy,AIDS
AIDS-A_IV,AIDS,A,IV,CR-080,theory,57,DS-407,Programming,3,AIDS,False,Dr. Arjun Iyer,AIDS
AIDS-A_IV,AIDS,A,IV,CR-080,theory,57,DS-407L,Programming Lab,2,AIDS,True,Dr. Diya Khan,AIDS
AIDS-A_IV,AIDS,A,IV,CR-080,theory,57,DS-405,Systems,4,AIDS,False,Dr. Diya Khan,AIDS
AIDS-A_IV,AIDS,A,IV,CR-080,theory,57,DS-405L,Systems Lab,2,AIDS,True,Dr. Priya Yadav,AIDS
AIDS-A_IV,AIDS,A,IV,CR-080,theory,57,DS-408,Applications,3,AIDS,False,Dr. Pari Reddy,AIDS
AIDS-A_V,AIDS,A,V,CR-080,theory,57,DS-5010,Analysis,3,AIDS,False,Dr. Diya Khan,AIDS
AIDS-A_V,AIDS,A,V,CR-080,theory,57,DS-5010L,Analysis Lab,2,AIDS,True,Prof. Saanvi Nath,AIDS
AIDS-A_V,AIDS,A,V,CR-080,theory,57,DS-509,Fundamentals,4,AIDS,False,Dr. Diya Joshi,AIDS
AIDS-A_V,AIDS,A,V,CR-080,theory,57,DS-509L,Fundamentals Lab,2,AIDS,True,Prof. Vihaan Singh,AIDS
AIDS-A_V,AIDS,A,V,CR-080,theory,57,DS-5012,Fundamentals,4,AIDS,False,Prof. Vihaan Singh,AIDS
AIDS-A_V,AIDS,A,V,CR-080,theory,57,DS-5012L,Fundamentals Lab,2,AIDS,True,Dr. Aadhya Sharma,AIDS
AIDS-A_VI,AIDS,A,VI,CR-080,theory,57,DS-603,Theory,4,AIDS,False,Dr. Reyansh Gupta,AIDS
AIDS-A_VI,AIDS,A,VI,CR-080,theory,57,DS-603L,Theory Lab,2,AIDS,True,Dr. Ananya Pandey,AIDS
